Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
Venice Luxury Residences 1BR Condo Unit for Sale at 157k/sqm only!,"Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,66,None,1,1,121.050318,14.540867,THE VENICE LUXURY RESIDENCES,10400000,https://www.lamudi.com.ph/venice-luxury-residences-1br-condo-unit-for-sale-at-157k-sqm-only.html
"1BR Condo Unit with nice view for Sale at The Venice Luxury Residences, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,66,None,1,1,121.050318,14.540867,THE VENICE LUXURY RESIDENCES,10400000,https://www.lamudi.com.ph/1br-condo-unit-with-nice-view-for-sale-at-the-venice-luxury-residences-taguig.html
"For Sale 1 Bedroom Unit Fully Furnished at Avida Towers 34th. St., BGC Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,single-bedroom",None,37,None,1,1,121.050318,14.540867,Avida Towers 34th,7000000,https://www.lamudi.com.ph/for-sale-1-bedroom-unit-fully-furnished-at-avida-towers-34th-st-bgc-taguig-1.html
Brand New Spacious House and Lot For Sale in BF Resort Las Pinas City,"Talon Dos, Las Pinas",House,"House,townhouse",102,158,2,4,3,120.985214,14.438526,None,9500000,https://www.lamudi.com.ph/brand-new-spacious-house-and-lot-for-sale-in-bf-resort-las-pinas-city.html
"Huge Prime Commercial Lot for Sale in Quezon City Along EDSA, Balintawak Nr.NLEX",Quezon City,Land,"Land,commercial-lot",1867,None,None,None,None,121.0443089,14.6621443,None,400000000,https://www.lamudi.com.ph/huge-prime-commercial-lot-for-sale-in-quezon-city-along-edsa-balintawak-nr-nlex.html
"6000 Sq.m. - Commercial Lot Along Highway in Buho, Silang Cavite - Titled Lot","Buho, Silang",Land,"Land,commercial-lot",6000,None,None,None,None,120.959807,14.14031,None,120000000,https://www.lamudi.com.ph/6000-sq-m-commercial-lot-along-highway-in-buho-silang-cavite-titled-lot.html
Brand New Modern Spacious Townhouse for Sale in Las Pinas City,"Talon Singko, Las Pinas",House,"House,townhouse",107,150,2,4,3,120.996723,14.422561,None,6800000,https://www.lamudi.com.ph/brand-new-modern-spacious-townhouse-for-sale-in-las-pinas-city.html
"10 Storey Prime Office Commercial Building for Sale in Guadalupe Nuevo, Makati","Guadalupe Nuevo, Makati",Commercial,"Commercial,building",1196,5345.25,None,None,None,121.04641,14.560995,None,700000000,https://www.lamudi.com.ph/10-storey-prime-office-commercial-building-for-sale-in-guadalupe-nuevo-makati.html
"Commercial Lot for Sale in Southwoods near Southwoods Mall. 1,160sqm","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1160,None,None,None,None,121.0428142,14.3197144,None,78196000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-southwoods-near-southwoods-mall-1-160sqm.html
"Commercial Lot For Sale in SouthWoods Near Southwoods Mall. 1,480sqm","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1480,None,None,None,None,121.0428142,14.3197144,None,94173000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-southwoods-near-southwoods-mall-1-480sqm.html
Pre Selling Spacious Modern Design with Roof Deck Duplex House in Pilar Village,"Pilar, Las Pinas",House,"House,townhouse",124,257,2,3,3,121.0080137,14.417168,None,13800000,https://www.lamudi.com.ph/pre-selling-spacious-modern-design-with-roof-deck-duplex-house-in-pilar-village.html
"Commercial Lot For Sale in SouthWoods Near Southwoods Mall. 1,572sqm","San Francisco, Binan",Land,"Land,commercial-lot",1572,None,None,None,None,121.0555577,14.3336384,None,100027000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-southwoods-near-southwoods-mall-1-572sqm.html
"Commercial Lot For Sale in SouthWoods Near Southwoods Mall. 1,604sqm","San Francisco, Binan",Land,"Land,commercial-lot",1604,None,None,None,None,121.0555577,14.3336384,None,104084000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-southwoods-near-southwoods-mall-1-604sqm.html
"Commercial Lot For Sale in Southwoods near Southwoods Mall, Carmona","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1551,None,None,None,None,121.0428142,14.3197144,None,104553000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-southwoods-near-southwoods-mall-carmona.html
Newly Renovated - Below Market Value House and Lot in Bacoor is For Sale,"Molino I, Bacoor",House,"House,single-family-house",90,95,None,3,2,120.9746966,14.421726,None,6500000,https://www.lamudi.com.ph/newly-renovated-below-market-value-house-and-lot-in-bacoor-is-for-sale.html
"Grand Hyatt Residences | Modern Elegant 5 Bedroom Condo for Sale in BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,other-4",None,300,3,5,4,121.050318,14.540867,Grand Hyatt,150000000,https://www.lamudi.com.ph/grand-hyatt-residences-modern-elegant-5-bedroom-condo-for-sale-in-bgc-taguig.html
"Commercial Lot For Sale near SouthWoods Mall, Carmona, Cavite","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1840,None,None,None,None,121.0428142,14.3197144,None,117080000,https://www.lamudi.com.ph/commercial-lot-for-sale-near-southwoods-mall-carmona-cavite.html
Good Buy! Two Lafayette Square 2 Bedroom Condo for Sale Makati Nr. Greenbelt,"Bel-Air, Makati",Condominium,"Condominium,double-bedroom",None,102,None,2,2,121.026342,14.563933,Two Lafayette Square,15500000,https://www.lamudi.com.ph/good-buy-two-lafayette-square-2-bedroom-condo-for-sale-makati-nr-greenbelt.html
Santa Ana | Good Location! Prime Commercial/Residential Lot for Sale in Manila,"Santa Ana, Manila",Land,"Land,residential-lot",914.7,None,None,None,None,121.0135541,14.5822048,None,118000000,https://www.lamudi.com.ph/santa-ana-good-location-prime-commercial-residential-lot-for-sale-in-manila.html
"Baguio 1 Bedroom Unit For Sale in BurhamHill, 36 sqm, PHP 5.8M","Legarda-Burnham-Kisad, Baguio",Condominium,"Condominium,single-bedroom",None,36,None,1,1,120.5941466,16.40385222,Burnham Hill,5800000,https://www.lamudi.com.ph/baguio-1-bedroom-unit-for-sale-in-burhamhill-36-sqm-php-5-8m.html
"5 Bedroom House and Lot for Sale in Highlands Pointe in Angono, Rizal","Dolores, Taytay",House,"House,single-family-house",280,393,1,5,5,121.148117,14.573461,None,27500000,https://www.lamudi.com.ph/5-bedroom-house-and-lot-for-sale-in-highlands-pointe-in-angono-rizal.html
Tivoli Royale 4 Bedroom 4BR Modern House for Sale Quezon City Nr. Batasan Hills,"Batasan Hills, Quezon City",House,"House,single-family-house",364,850,4,4,5,121.096563,14.681641,None,95000000,https://www.lamudi.com.ph/tivoli-royale-4-bedroom-4br-modern-house-for-sale-quezon-city-nr-batasan-hills.html
"Single Detached 2-Storey House For Sale in Tivoli Royale, Quezon City","Matandang Balara, Quezon City",House,"House,single-family-house",364,850,4,4,5,121.082236,14.665648,None,95000000,https://www.lamudi.com.ph/single-detached-2-storey-house-for-sale-in-tivoli-royale-quezon-city.html
"Brand New 4 Bedroom House for Sale Quezon City, Tivoli Royale Nr. Batasan Hills","Batasan Hills, Quezon City",House,"House,single-family-house",364,850,4,4,5,121.096563,14.681641,None,95000000,https://www.lamudi.com.ph/brand-new-4-bedroom-house-for-sale-quezon-city-tivoli-royale-nr-batasan-hills.html
"Tivoli Royale 2-Storey House for Sale in Quezon City Nr. Batasan Hills, Diliman","Matandang Balara, Quezon City",House,"House,single-family-house",364,850,4,4,5,121.082236,14.665648,None,95000000,https://www.lamudi.com.ph/tivoli-royale-2-storey-house-for-sale-in-quezon-city-nr-batasan-hills-diliman.html
Pre Selling - Smart Home Condo for sake in Cainta/ Accept Condo Rental,"San Isidro, Cainta",Condominium,"Condominium,studio",None,22,1,1,1,121.118502,14.613156,Sierra Valley Gardens,4339421,https://www.lamudi.com.ph/pre-selling-smart-home-condo-in-cainta-accept-air-165993646273.html
Tivoli Royale | Brand New Four 4 Bedroom House and Lot for Sale in Quezon City,"Batasan Hills, Quezon City",House,"House,single-family-house",364,850,4,4,5,121.0443089,14.6621443,None,95000000,https://www.lamudi.com.ph/tivoli-royale-brand-new-four-4-bedroom-house-and-lot-for-sale-in-quezon-city.html
"3 Bedroom with Balcony at Proscenium Kirov Tower, Rockwell Makati For Sale","Rockwell, Makati",Condominium,"Condominium,3-bedroom",None,225,2,3,5,121.036339,14.562949,Proscenium,80000000,https://www.lamudi.com.ph/3-bedroom-with-balcony-at-proscenium-kirov-tower-rockwell-makati-for-sale.html
Crescendo - Commercial Lot In Tarlac for Sale,"San Roque, Tarlac",Land,"Land,commercial-lot",500,None,None,None,None,120.597594,15.480135,None,25000000,https://www.lamudi.com.ph/crescendo-commercial-lot-in-tarlac-for-sale.html
Beach Property: Terrazas De Punta Fuego Lot for Sale,"Utod, Nasugbu",Land,"Land,beach-lot",564,None,None,None,None,120.6294536,14.108254,None,15228000,https://www.lamudi.com.ph/beach-property-terrazas-de-punta-fuego-lot-for-sale.html
Affordable Residential Lot in Teresa Rizal,"Dalig, Teresa",Land,"Land,residential-lot",259,None,None,None,None,121.208606,14.56318,None,5816500,https://www.lamudi.com.ph/affordable-residential-lot-in-teresa-rizal.html
5.5 Hectares Lot For Sale in Brgy. Tolentino East Tagaytay Overlooking Taal,"Tolentino East, Tagaytay",Land,"Land,residential-lot",55000,0,None,None,None,120.97934,14.124231,None,330000000,https://www.lamudi.com.ph/5-5-hectares-lot-for-sale-in-brgy-tolentino-east-t-165854176630.html
FOR SALE: Premium Residential Lot at Brentville International Community,"Mampalasan, Binan",Land,"Land,residential-lot",473,None,None,None,None,121.0818455,14.3061271,None,18177200,https://www.lamudi.com.ph/for-sale-premium-residential-lot-at-brentville-international-community.html
1 Bedroom Investment In the Heart of Manila,"Leveriza, Pasay",Condominium,"Condominium,single-bedroom",None,37,None,1,1,120.9926571,14.5538047,Grand View Tower,7741440,https://www.lamudi.com.ph/1-bedroom-investment-in-the-heart-of-manila-165968900731.html
WH Taft Residences For Sale 6M La Salle Taft Avenu Manila,"Malate, Manila",Condominium,"Condominium,single-bedroom",None,36,None,1,1,120.991585,14.570199,WH TAFT RESIDENCES MANILA LA SALLE,6000000,https://www.lamudi.com.ph/wh-taft-residences-for-sale-6m-la-salle-taft-avenu-manila.html
Hacienda Sta Monica Lipa city 4 lot adjoining for sale very low price,"Latag, Lipa",Land,"Land,residential-lot",3171,None,None,None,None,121.178772,13.934035,None,16489200,https://www.lamudi.com.ph/hacienda-sta-monica-lipa-city-4-lot-adjoining-for-sale-very-low-price.html
Ayala Westgrove House for Sale with Nice View of Mt. Makiling. Brand New w/ Pool,"Barangay II, Silang",House,"House,single-family-house",580,1100,6,7,9,120.975714,14.22395,None,91900000,https://www.lamudi.com.ph/ayala-westgrove-house-for-sale-with-nice-view-of-mt-makiling-brand-new-w-pool.html
"Ayala Westgrove Brand New 7BR house with Pool for Sale, located at Silang Cavite","Barangay II, Silang",House,"House,single-family-house",580,1100,6,7,9,120.975714,14.22395,None,91900000,https://www.lamudi.com.ph/ayala-westgrove-brand-new-7br-house-with-pool-for-sale-located-at-silang-cavite.html
"Pre-selling Ultra Luxury 3BR Unit in Shang Aurelia Residences, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,281.5,2,3,5,121.050318,14.540867,Aurelia Residences,174900000,https://www.lamudi.com.ph/pre-selling-ultra-luxury-3br-unit-in-shang-aurelia-residences-taguig-city.html
Overlooking Lot For Sale in The Peak Havila,"San Juan, Taytay",Land,"Land,residential-lot",350,None,None,None,None,121.123722,14.551401,None,17240600,https://www.lamudi.com.ph/overlooking-lot-for-sale-in-the-peak-havila.html
"4BR House and lot for Sale at Royale Tagaytay Estates, Alfonso near Twin lakes","Buck Estate, Alfonso",House,"House,single-family-house",837,540,4,4,3,120.8527969,14.0892003,None,40000000,https://www.lamudi.com.ph/4br-house-and-lot-for-sale-at-royale-tagaytay-estates-alfonso-near-twin-lakes.html
"1050sqm Lot For Sale in Amparo Heights Subd., Camp 7, Baguio City","Camp 7, Baguio",Land,"Land,residential-lot",1050,None,None,None,None,120.600513,16.381866,None,15750000,https://www.lamudi.com.ph/1050sqm-lot-for-sale-in-amparo-heights-subd-camp-7-16588277954.html
"Brand New 3 Bedroom Condo with 1 Parking at The Trion Towers (T3), Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,97.54,1,3,2,121.050318,14.540867,The Trion Towers,21000000,https://www.lamudi.com.ph/brand-new-3-bedroom-condo-with-1-parking-at-the-trion-towers-t3-taguig.html
2-Storey House with Covered Garage for Sale Facing Morning Sun,"Cararayan, Naga",House,"House,single-family-house",101,120,1,2,2,123.2386637,13.6309832,None,4500000,https://www.lamudi.com.ph/2-storey-house-with-covered-garage-for-sale-facing-165950600245.html
4bedrms  BNew Duplex House for Sale BF Triangle BF Homes Phase6 Las Pinas City,"Almanza Uno, Las Pinas",House,"House,townhouse",158,250,2,4,3,121.0140532,14.4324914,None,18300000,https://www.lamudi.com.ph/4bedrms-bnew-duplex-house-for-sale-bf-triangle-bf-homes-phase6-las-pinas-city.html
"1,160 sqm Commercial Lot for Sale in Southwoods Business Park","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1160,None,None,None,None,121.0428142,14.3197144,None,74333117.6,https://www.lamudi.com.ph/1-160-sqm-commercial-lot-for-sale-in-southwoods-business-park.html
Pre Selling Spacious Modern Design with Roof Deck House and Lot In Pilar,"Pilar, Las Pinas",House,"House,single-family-house",124,257,None,3,3,121.0080137,14.417168,None,13800000,https://www.lamudi.com.ph/pre-selling-spacious-modern-design-with-roof-deck-house-and-lot-in-pilar-4.html
"1,480 sqm High End Commercial Lot for Sale in Southwoods Ecocentrum","Binan, Binan",Land,"Land,commercial-lot",1480,None,None,None,None,121.0539924,14.2703263,None,89520853.8,https://www.lamudi.com.ph/1-480-sqm-high-end-commercial-lot-for-sale-in-southwoods-ecocentrum.html
"1,572sqm Commercial Lot for Sale in Southwoods Ecocentrum-Business District","Cabilang Baybay, Carmona",Land,"Land,commercial-lot",1572,None,None,None,None,121.0428142,14.3197144,None,95085666.2,https://www.lamudi.com.ph/1-572sqm-commercial-lot-for-sale-in-southwoods-ecocentrum-business-district.html
"2 Bedroom End Unit for Sale, 77sqm, near Naic Doctors Hospital","San Roque, Naic",House,"House,townhouse",77,50.25,None,2,1,120.78644,14.30835,None,2499000,https://www.lamudi.com.ph/2-bedroom-end-unit-for-sale-77sqm-near-naic-doctors-hospital.html
"Newly Renovated 2 Bedroom 2BR Condo For Sale in Trion Towers, BGC, Taguig City","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,92,2,2,2,121.050318,14.540867,The Trion ,22440000,https://www.lamudi.com.ph/newly-renovated-2-bedroom-2br-condo-for-sale-in-trion-towers-bgc-taguig-city.html
House and Lot for sale Cara 3 Bedrooms in Digos,"Matti, Digos",House,"House,single-family-house",88,66,None,3,2,125.3085351,6.7643778,None,5005000,https://www.lamudi.com.ph/house-and-lot-for-sale-cara-3-bedrooms-in-digos.html
"House and Lot for sale in Angeli Tagum, Davao del Norte","Cuambogan, Tagum",House,"House,townhouse",42,54,None,2,1,125.792813,7.490051,None,1922000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-angeli-tagum-davao-del-norte.html
"Mount Malarayat Golf and Country Club | Residential House & Lot For Sale, Lipa","Munting Pulo, Lipa",House,"House,single-family-house",1326,700,None,4,4,121.186778,13.955635,None,101250000,https://www.lamudi.com.ph/mount-malarayat-golf-and-country-club-residential-house-lot-for-sale-lipa.html
"Massive Fully Furnished House and Lot for Sale in BF Homes, Paranaque City","B.F. Homes, Paranaque",House,"House,single-family-house",650,750,2,8,8,121.0245799,14.4521766,None,59000000,https://www.lamudi.com.ph/massive-fully-furnished-house-and-lot-for-sale-in-bf-homes-paranaque-city.html
Rare Luxurious 1 Bedroom Unit for Sale in Milano Residences Makati,"Poblacion, Makati",Condominium,"Condominium,single-bedroom",None,57,None,1,1,121.032076,14.56568,The Milano Residences,16000000,https://www.lamudi.com.ph/rare-luxurious-1-bedroom-unit-for-sale-in-milano-residences-makati.html
"For Sale Two Storey Attractive Brand New House in BF Homes, Paranaque","B.F. Homes, Paranaque",House,"House,single-family-house",340,450,4,5,4,121.0245799,14.4521766,None,41500000,https://www.lamudi.com.ph/for-sale-two-storey-attractive-brand-new-house-in-bf-homes-paranaque.html
"Brand New Massive Corner House and Lot For Sale in Bf Homes, Paranaque","B.F. Homes, Paranaque",House,"House,single-family-house",540,420,4,5,5,121.0245799,14.4521766,None,45000000,https://www.lamudi.com.ph/brand-new-massive-corner-house-and-lot-for-sale-in-bf-homes-paranaque.html
Well-Maintained Sprawling Bungalow House and Lot for Sale in BF Homes Paranaque,"B.F. Homes, Paranaque",House,"House,single-family-house",293,230,2,3,2,121.0245799,14.4521766,None,15500000,https://www.lamudi.com.ph/well-maintained-sprawling-bungalow-house-and-lot-for-sale-in-bf-homes-paranaque.html
4 Bedroom House and Lot for Sale in Abucay Bataan (Semi Furnished),"Gabon, Abucay",House,"House,single-family-house",300,325,None,4,3,120.505643,14.71485,None,12000000,https://www.lamudi.com.ph/ready-for-occupancy-33.html
Ayala Westgrove Heights | Residential House & Lot,"Puting Kahoy, Silang",House,"House,single-family-house",750,750,8,6,9,121.0361144,14.2174433,None,51130000,https://www.lamudi.com.ph/ayala-westgrove-heights-residential-house-lot.html
Ayala Westgrove Heights | Residential House & Lot,"Puting Kahoy, Silang",House,"House,single-family-house",576,600,9,5,5.5,121.0361144,14.2174433,None,80000000,https://www.lamudi.com.ph/ayala-westgrove-heights-residential-house-lot-1.html
"690sqm Residential Lot for Sale in Panay Avenue, Quezon City","Panay Avenue, Quezon City",Land,"Land,residential-lot",690,None,None,None,None,121.0277,14.63658,None,127650000,https://www.lamudi.com.ph/690sqm-residential-lot-for-sale-in-panay-avenue-quezon-city.html
"Arbor Lanes Deluxe Canopy Unit 2 Bedroom Condo for Sale in Arca South, Taguig","Western Bicutan, Taguig",Condominium,"Condominium,double-bedroom",None,176,2,2,2,121.0632793,14.5139759,Arbor Lanes,42000000,https://www.lamudi.com.ph/arbor-lanes-deluxe-canopy-unit-2-bedroom-condo-for-sale-in-arca-south-taguig.html
For Sale Well-Maintained Sprawling Bungalow House and Lot in BF Homes Paranaque,"B.F. Homes, Paranaque",House,"House,single-family-house",293,230,2,3,2,121.0245799,14.4521766,None,15500000,https://www.lamudi.com.ph/for-sale-well-maintained-sprawling-bungalow-house-and-lot-in-bf-homes-paranaque.html
Commercial Lot For Sale In Paranaque Sucat Road Beside SM Sucat,"San Dionisio, Paranaque",Land,"Land,commercial-lot",2000,None,None,None,None,120.984764,14.493719,None,160000000,https://www.lamudi.com.ph/commercial-lot-for-sale-in-paranaque-sucat-road-beside-sm-sucat.html
"Studio Unit with Balcony For Sale Inside Clark, Angeles, Pampanga","Sapangbato, Angeles",Condominium,"Condominium,studio",None,40,1,1,1,120.502524,15.143396,D'Heights Resort & Casino,3220000,https://www.lamudi.com.ph/studio-unit-with-balcony-for-sale-inside-clark-angeles-pampanga.html
Ready for Occupancy 2BR Condo,"Rosario, Pasig",Condominium,"Condominium,double-bedroom",None,30.6,None,2,1,121.1019201,14.59286382,Urban Deca Homes Ortigas Residences,2900000,https://www.lamudi.com.ph/ready-for-occupancy-2br-condo.html
3 BR House and Lot in Q.C near Commonwealth,"Bagong Silangan, Quezon City",House,"House,single-family-house",72,115,1,3,2,121.109668,14.703588,None,7589500,https://www.lamudi.com.ph/3-br-house-and-lot-in-q-c-near-commonwealth.html
"Valley Golf Subdivision 3-Storey Mansion House for Sale in Antipolo, Rizal","San Juan, Cainta",House,"House,single-family-house",2186,2500,12,10,17,121.254587,14.721661,None,350000000,https://www.lamudi.com.ph/valley-golf-subdivision-3-storey-mansion-house-for-sale-in-antipolo-rizal.html
"Fully furnished 10 Bedroom Mansion House for Sale Antipolo, Rizal, Valley Golf","San Juan, Cainta",House,"House,single-family-house",2186,2500,12,10,17,121.254587,14.721661,None,350000000,https://www.lamudi.com.ph/fully-furnished-10-bedroom-mansion-house-for-sale-antipolo-rizal-valley-golf.html
"Mega Mansion House for Sale in Cainta, Rizal, Valley Golf Subdivision 3-Storey","San Juan, Cainta",House,"House,single-family-house",2186,2500,12,10,17,121.1292,14.590175,None,350000000,https://www.lamudi.com.ph/mega-mansion-house-for-sale-in-cainta-rizal-valley-golf-subdivision-3-storey.html
"Lanewood Hills Residential Vacant Lot in Silang, Cavite Near SLEX, CALAX","Hukay, Silang",Land,"Land,residential-lot",615,None,None,None,None,121.02566,14.2236058,None,27675000,https://www.lamudi.com.ph/lanewood-hills-residential-vacant-lot-in-silang-cavite-near-slex-calax.html
"Tivoli Royale Brand New 4 Bedroom House Quezon City Nr. Batasan Hills, Diliman","Matandang Balara, Quezon City",House,"House,single-family-house",364,850,None,4,5,121.082236,14.665648,None,95000000,https://www.lamudi.com.ph/tivoli-royale-brand-new-4-bedroom-house-quezon-city-nr-batasan-hills-diliman.html
Proscenium at Rockwell Center Makati City,"Rockwell, Makati",Condominium,"Condominium,double-bedroom",None,194,2,2,3,121.036339,14.562949,Proscenium at Rockwell,85000000,https://www.lamudi.com.ph/proscenium-residences-2-bedroom-condo-for-sale-in-rockwell-center-makati-city.html
"1,226sqm downhill Residential Nature Lot with 24/7 security flood free, Taytay","San Juan, Taytay",Land,"Land,residential-lot",1226,None,None,None,None,121.123722,14.551401,None,26789600,https://www.lamudi.com.ph/for-sale-388-sqm-residential-lot-with-24-7-security-flood-free-taytay.html
"Studio Condominium Unit for Sale Inside Clark, Angeles City, Pampanga","Claro M. Recto, Angeles",Condominium,"Condominium,studio",None,44,1,1,1,120.61931,15.146995,None,3000000,https://www.lamudi.com.ph/studio-condominium-unit-for-sale-inside-clark-ange-165932513593.html
Robinsons Sapphire Bloc 1 Bedroom 36 sqm with Promo 19k Monthly,"Ortigas CBD, Pasig",Condominium,"Condominium,single-bedroom",None,36,None,1,1,121.0627371,14.58714155,Sapphire Bloc,10134532.2,https://www.lamudi.com.ph/robinsons-sapphire-bloc-1-bedroom-36-sqm-with-promo-19k-monthly.html
"Pre-selling 1 Bedroom Condo Unit at Avida Towers Verge, Mandaluyong City","Highway Hills, Mandaluyong",Condominium,"Condominium,single-bedroom",None,34,None,1,1,121.0363943,14.5820678,Avida Towers Verge,8700000,https://www.lamudi.com.ph/pre-selling-1-bedroom-condo-unit-at-avida-towers-verge-mandaluyong-city.html
Loyola Grand Villas House and lot for Sale,"Loyola Heights, Quezon City",House,"House,single-family-house",500,490,None,3,3,121.076504,14.640624,None,72150000,https://www.lamudi.com.ph/loyola-grand-villas-house-and-lot-for-sale-4.html
"City Soho Commercial Office or Clinics for Sale in Capitol Site, Cebu City","Capitol Site, Cebu",Commercial,"Commercial,offices",0,22.27,None,None,None,123.8909291,10.3138481,None,2800000,https://www.lamudi.com.ph/city-soho-commercial-office-or-clinics-for-sale-in-capitol-site-cebu-city.html
"Trion Towers | Fully furnished 2 Bedroom 2BR Condo Unit for Sale in BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,97,None,2,3,121.0632793,14.5139759,Trion Towers,20000000,https://www.lamudi.com.ph/trion-towers-fully-furnished-2-bedroom-2br-condo-unit-for-sale-in-bgc-taguig.html
"Grand Hamptons | Fully furnished 2 Bedroom Condo for Sale in BGC, Taguig","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,78,None,2,2,121.050318,14.540867,The Grand Hamptons,17000000,https://www.lamudi.com.ph/grand-hamptons-fully-furnished-2-bedroom-condo-for-sale-in-bgc-taguig.html
"For Sale Brand New 3-Storey Townhouse in Marian Lakeview Park, Paranaque","San Martin de Porres, Paranaque",House,"House,townhouse",155,320,2,4,4,121.043543,14.496788,None,30000000,https://www.lamudi.com.ph/for-sale-brand-new-3-storey-townhouse-in-marian-lakeview-park-paranaque.html
Megaworld Savoy Mactan RFO Condotel Unit For Sale,"Mactan, Lapu-Lapu",Condominium,"Condominium,dormitory",None,23,None,1,1,124.0112408,10.3051555,None,6900000,https://www.lamudi.com.ph/megaworld-savoy-mactan-rfo-condotel-unit-for-sale.html
Manila-Tondo 4 Storey Commercial/Residential Building For Sale,"Tondo, Manila",Commercial,"Commercial,building",85.1,320,None,None,None,120.965967,14.620565,None,8500000,https://www.lamudi.com.ph/tondo-4-storey-commercial-residential-building-for-sale.html
"House and Lot for Sale in BF Homes Sucat, Paranaque","B.F. Homes, Paranaque",House,"House,single-family-house",650,750,None,8,8,121.0245799,14.4521766,None,59000000,https://www.lamudi.com.ph/house-and-lot-for-sale-in-bf-homes-sucat-1.html
"Ayala Westgrove Heights 4-Storey House for Sale with Swimming pool Silang,Cavite","Puting Kahoy, Silang",House,"House,single-family-house",580,1100,None,7,9,121.0361144,14.2174433,None,91900000,https://www.lamudi.com.ph/ayala-westgrove-heights-4-storey-house-for-sale-with-swimming-pool-silang-cavite.html
"Ayala Westgrove Heights 7 Bedroom 7BR Modern House for Sale in Silang, Cavite","Puting Kahoy, Silang",House,"House,single-family-house",580,1100,None,7,9,121.0361144,14.2174433,None,91900000,https://www.lamudi.com.ph/ayala-westgrove-heights-7-bedroom-7br-modern-house-for-sale-in-silang-cavite.html
Rent to Own 2BR Condo Unit in Ortigas Pasig Affordable,"Rosario, Pasig",Condominium,"Condominium,double-bedroom",None,30.6,None,2,1,121.089097,14.588464,Urban Deca Homes Ortigas Residences,2919000,https://www.lamudi.com.ph/rent-to-own-2br-condo-unit-in-ortigas-pasig-affordable.html
4 Bedroom Merville Paranaque House and lot Property for Sale,"Merville, Paranaque",House,"House,single-family-house",260,220,2,4,4,121.025633,14.499387,None,35000000,https://www.lamudi.com.ph/4-bedroom-merville-para-aque-house-and-lot-propert-165998006945.html
"Kai Garden 1BR W/ parking Sugi Bldg. Near Boni MRT, MAKATI and Ortigas CBD & BGC","Shaw Boulevard, Mandaluyong",Condominium,"Condominium,single-bedroom",None,36,None,1,1,121.0363943,14.5820678,Kai Garden  ResideencesSugi Bldg.,5900000,https://www.lamudi.com.ph/kai-garden-1br-w-parking-sugi-bldg-near-boni-mrt-makati-and-ortigas-cbd-bgc.html
RFO Brixton Place 1BR 41sqm For Sale in Pasig near BGC and Ortigas Center,"Kapitolyo, Pasig",Condominium,"Condominium,single-bedroom",None,41,None,1,1,121.060157,14.569208,Brixton Place Brent Tower,4100000,https://www.lamudi.com.ph/rfo-brixton-place-1br-41sqm-for-sale-in-pasig-near-bgc-and-ortigas-center.html
Modern Contemporary 220 degrees Overlooking House with Smart Home Features,"Tisa, Cebu",House,"House,single-family-house",238,800,6,6,6,123.86984,10.304145,None,45000000,https://www.lamudi.com.ph/modern-contemporary-220-degrees-overlooking-house-with-smart-home-features.html
"400 sqm Residential Lot for Sale in Gloria Heights Subdivision, Antipolo City","Dalig, Antipolo",Land,"Land,residential-lot",400,None,None,None,None,121.195159,14.576725,None,5000000,https://www.lamudi.com.ph/400-sqm-residential-lot-for-sale-in-gloria-heights-subdivision-antipolo-city.html
Brand new 2-storey House near Davao International Airport,"Buhangin, Davao",House,"House,single-family-house",180,114,1,4,3,125.6050339,7.146756,None,13750000,https://www.lamudi.com.ph/brand-new-2-storey-house-near-davao-international-airport.html
One Bedroom unit at Brixton Place for sale in Pasig,"Kapitolyo, Pasig",Condominium,"Condominium,single-bedroom",None,31.5,None,1,1,121.060157,14.569208,Weston Tower,7500000,https://www.lamudi.com.ph/one-bedroom-unit-at-brixton-place-for-sale-in-pasig.html
Solana Frontera - Catherine And Eugenie Model RFO,"Sapalibutad, Angeles",House,"House,single-family-house",152,89,None,3,2,120.651906,15.150545,None,3400000,https://www.lamudi.com.ph/solana-frontera-catherine-and-eugenie-model-rfo.html
