Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
"For Sale 2 Bedroom with Parking at Shang Residences at Wack Wack, Mandaluyong","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,142,1,2,4,121.053333,14.592173,Shang Residences at Wack Wack,43624480,https://www.lamudi.com.ph/2-bedroom-with-parking-at-shang-residences-at-wack-16609816107.html
"3-Bedroom Condo for Sale in BGC Taguig City, 5th Floor, Verve Residences Tower 1","Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",None,184,1,3,3,121.050318,14.540867,Verve Residences,49000000,https://www.lamudi.com.ph/3-bedroom-condo-for-sale-in-bgc-taguig-city-5th-fl-166097915610.html
"Residential Lot for Sale in Antipolo Del Sur, Lipa City, Batangas","Antipolo del Sur, Lipa",Land,"Land,residential-lot",819,None,None,None,None,121.182,13.931,None,4872000,https://www.lamudi.com.ph/lot-for-sale-in-lipa-city-batangas-16609751792.html
"2-Bedroom Condo For Sale in BGC Taguig City, 10th Floor, Icon Residences Tower 2","Fort Bonifacio, Taguig",Condominium,"Condominium,double-bedroom",None,95,1,2,2,121.050318,14.540867,Icon Residences,20000000,https://www.lamudi.com.ph/2-bedroom-condo-for-sale-in-bgc-taguig-city-10th-f-166097421844.html
"For Sale Loft Type Unit in AMA Tower Residences, Mandaluyong City","Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,loft-1",None,65,None,2,2,121.053333,14.592173,AMA Tower Residences,14456789,https://www.lamudi.com.ph/loft-type-condo-in-ortigas-mandaluyong-rent-to-own-166097150696.html
For Sale 2 Bedroom Unit in Ortigas Mandaluyong Rent to Own 500k Down 21k monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,double-bedroom",None,52,None,2,1,121.053333,14.592173,AMA Tower Residences,9876543.21,https://www.lamudi.com.ph/2bedroom-condo-in-ortigas-mandaluyong-rent-to-own-166097128794.html
For Sale 1-Bedroom in Mandaluyong Rent to Own 300k Down Move in 13k monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,single-bedroom",None,30,None,1,1,121.053333,14.592173,AMA Tower Residences,6400000,https://www.lamudi.com.ph/1bedroom-condo-in-ortigas-mandaluyong-rent-to-own-166097102893.html
"Rush Sale 5 Bedrooms, 5 T&B House in Camp 7, Baguio City, Benguet","Camp 7, Baguio",House,"House,single-family-house",191,300,2,5,5,120.600513,16.381866,None,21000000,https://www.lamudi.com.ph/7m-reduction-rush-sale-166096806850.html
Rent to Own Condo in Ortigas Mandaluyong Studio 250k Down Move in 11k Monthly,"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,studio",None,20,None,1,1,121.053333,14.592173,AMA Tower Residences,5400000,https://www.lamudi.com.ph/rent-to-own-condo-in-ortigas-mandaluyong-studio-25-166096200126.html
"Lot for Sale in Antel Grand Village Cavite near Evo City, Lancaster,Maple Grove","Bacao II, General Trias",Land,"Land,residential-lot",120,None,None,None,None,120.881337,14.410355,None,2250000,https://www.lamudi.com.ph/lot-for-sale-in-antel-grand-village-cavite-near-ev-166093710641.html
Commercial/Industrial Lot For Sale Along Tagaytay-Sta. Rosa Road Silang Cavite,"Tartaria, Silang",Land,"Land,commercial-lot",20823,None,None,None,None,121.0220452,14.202348,None,520575000,https://www.lamudi.com.ph/commercial-industrial-lot-for-sale-along-tagaytay-166090808466.html
For Sale! Commercial Lot in Cubao. (P. Tuazon side),"Cubao, Quezon City",Land,"Land,commercial-lot",413,None,None,None,None,121.0443089,14.6621443,None,80000000,https://www.lamudi.com.ph/for-sale-commercial-lot-in-cubao-p-tuazon-side-166090619181.html
